r_e_calculated nPrimVtx avgMu clusterE clusterPt clusterPhi cluster_MASS cluster_sumCellE cluster_time cluster_fracE cluster_PTD cluster_ISOLATION cluster_FIRST_ETA cluster_FIRST_PHI cluster_FIRST_ENG_DENS cluster_SECOND_TIME cluster_SECOND_R cluster_SECOND_LAMBDA cluster_SECOND_ENG_DENS cluster_CENTER_LAMBDA cluster_CENTER_MAG cluster_CENTER_X cluster_CENTER_Y cluster_CENTER_Z cluster_ENG_BAD_CELLS cluster_ENG_BAD_HV_CELLS cluster_ENG_FRAC_EM cluster_ENG_FRAC_MAX cluster_ENG_FRAC_CORE cluster_ENG_POS cluster_DELTA_THETA cluster_DELTA_PHI cluster_CELL_SIGNIFICANCE cluster_CELL_SIG_SAMPLING cluster_N_BAD_CELLS cluster_BAD_CELLS_CORR_E cluster_LONGITUDINAL cluster_LATERAL cluster_SIGNIFICANCE nCluster cluster_N_BAD_HV_CELLS cluster_nCells cluster_nCells_tot r_e_predec cluster_ENG_CALIB_TOT cluster_ENG_TOT_frompred clusterECalib
1.0095823 14 19.5 5.095306 1.950462 -1.7273171 0.10494332 9.689803 -0.34306392 1.5965643e-05 0.23014902 0.2687545 -1.6141012 -1.7296541 7.9239555e-07 5.4151382 7124.0127 19869.006 1.1929521e-12 205.49043 4266.602 -259.93777 -1614.4446 -3940.7988 0.0 0.0 0.90795314 0.1287248 0.2094251 5.295542 0.39169818 0.30157334 7.424218 6.0 0.0 0.0 0.8829048 0.8751452 6.1743746 31 0.0 66 82 0.9271602 5.0469446 5.495604750937324 5.0944104
0.9818782 17 24.500002 9.362546 9.043331 -1.19284 0.52382815 13.719225 -1.0849471 5.08856e-05 0.22000344 0.49356192 -0.2647414 -1.1930656 9.449924e-07 6.007718 8138.0435 14560.36 1.2559962e-12 190.62892 1743.4614 621.6701 -1565.0651 -451.39276 0.0 1.1285994 0.9201684 0.11392968 0.15951557 9.599278 -0.04313661 0.043297622 18.649172 2.0 0.0 0.0 0.85241073 0.95637405 18.969757 13 9.0 89 108 0.98785275 9.535343 9.477673671506205 9.360008
0.9945379 30 39.5 21.244024 6.5240808 -1.0870174 0.4670204 26.791815 -0.17156202 7.004478e-05 0.3158468 0.46063027 -1.8517747 -1.0859438 6.793328e-06 1.0644454 7462.8784 8459.2 7.846723e-11 242.60992 4182.557 597.2214 -1131.8057 -3981.975 0.0 0.0 1.0 0.23993321 0.2716535 22.12428 0.7137502 0.7481133 49.125717 6.0 0.0 0.0 0.687964 0.9201265 26.069721 21 0.0 87 126 0.9260772 21.360699 22.93979810754438 21.241394
0.99235886 16 26.5 33.720497 25.172617 -1.4484555 0.94059676 41.725643 0.44739318 0.00021376945 0.24488455 0.0120390495 -0.8025019 -1.4484528 3.1902946e-06 0.9995685 3226.3784 20229.783 1.5591497e-11 354.2257 2274.9114 205.9073 -1684.8839 -1514.5923 0.0 1.3990316 0.95857674 0.14011212 0.21598001 33.767464 -0.18953983 0.40932897 75.172226 2.0 0.0 0.0 0.89054036 0.8881549 81.25894 9 1.0 58 62 0.9409856 33.980145 35.835295460419374 33.786617
1.009047 31 49.500004 9.874545 7.585632 1.9395536 0.37883118 12.3047495 -0.084939405 0.0004022252 0.40686205 0.8845718 -0.7598792 1.9321871 3.4224875e-06 0.34770474 4383.159 15929.3 1.6392832e-11 220.21815 2162.6343 -585.60986 1552.3899 -1387.1315 0.0 0.35648942 0.9733481 0.32730967 0.43097708 10.873282 -0.020839697 0.22082986 53.549667 2.0 0.0 0.0 0.70382774 0.82601976 19.525007 3 4.0 71 104 1.009508 9.786011 9.781542097734738 9.875097
1.0067444 22 38.5 13.957357 10.599892 0.33543083 0.5485556 19.427837 -0.6724946 0.00045502206 0.32317924 0.59535044 0.7783814 0.34045815 2.5090121e-06 2.6044195 6036.9365 12555.0625 1.1288925e-11 273.95935 2249.7666 1606.9752 570.08575 1467.6792 0.0 0.4119309 0.9917347 0.2387233 0.27812296 15.253328 0.44222653 -0.55744815 58.685875 2.0 0.0 0.0 0.75514925 0.898567 22.389673 6 6.0 95 163 0.9117505 13.863853 15.308307481048818 13.956428
1.0002054 5 13.500001 58.861485 48.731583 0.7578543 1.7466843 61.05873 0.061981954 0.00034541448 0.36420837 0.45209673 -0.63421875 0.75864714 1.954923e-05 0.08074519 2977.5828 14999.684 7.0843115e-10 208.45158 2010.4108 1206.9835 1145.5006 -1128.1714 0.0 1.6444961 0.9739116 0.2726248 0.39849183 59.374836 -0.02027478 -0.2171636 244.42062 2.0 0.0 0.0 0.71308416 0.78561485 88.70076 15 11.0 147 183 1.0162551 58.849396 57.919989774221065 58.83917
11.087886 17 29.5 32.938774 2.9548829 -1.2190852 0.272927 725.6648 -2.5120075 0.00039071392 0.4369588 1.0 3.1066678 -1.2185422 1.4346348e-05 0.0 977.4409 2415.6057 2.4938235e-10 191.4034 3955.4275 121.86457 -331.35535 3939.6394 0.0 0.0 1.0 0.32707983 0.35120994 34.508472 -0.7861007 0.50522864 5.036122 6.0 0.0 0.0 0.3158564 0.44567782 4.3927197 14 0.0 9 14 1.3021675 2.9706993 25.29534334100644 3.0593772
1.0083764 13 21.499998 10.341257 3.656362 1.7727697 0.22958484 17.338564 1.1942663 2.3814586e-05 0.20829408 0.5859289 1.7032423 1.771139 3.7196019e-06 6.246097 6115.8267 105310.42 4.998303e-11 248.78696 4244.9673 -300.68848 1466.0598 3972.4053 0.0 0.0 0.6866031 0.10728957 0.31625506 10.959278 -0.095345005 -0.2694189 13.1035795 6.0 0.0 0.0 0.9797954 0.9502663 7.139502 12 0.0 93 115 1.0460225 10.255355 9.886266308803108 10.341302
1.0032029 17 26.5 6.382244 6.378234 -0.13175294 0.29628044 8.964627 -1.9996698 7.520593e-05 0.29574177 0.16226394 -0.035376463 -0.13036953 1.4013254e-06 4.065267 4337.2866 16643.273 2.9781613e-12 159.55539 1654.5042 1639.7186 -212.75703 -58.663624 0.0004327159 0.988797 0.88228065 0.23942874 0.3848268 6.4856815 -0.0026446804 -0.26960856 27.165384 2.0 1.0 0.4327159 0.722231 0.8876266 16.020496 12 5.0 60 70 1.0252604 6.361868 6.224998059029686 6.37961
1.001014 35 55.5 120.03407 114.59053 2.9046717 4.4380264 127.79775 -0.15995055 0.0007371857 0.34158975 0.41898516 0.30700806 2.9046135 2.8216884e-05 0.037080117 3663.6892 13330.037 1.2459731e-09 201.08167 1767.8481 -1640.2329 396.78244 526.7698 0.0 5.534741 0.9546038 0.29636005 0.37062734 120.566185 0.07057643 -0.00846998 396.055 2.0 0.0 0.0 0.739832 0.8481671 202.8322 12 10.0 124 151 1.0564678 119.91248 113.61829485006548 120.08463
1.006922 28 52.500004 17.069523 10.696689 0.5256155 0.39033863 22.722153 -0.60513496 6.809531e-05 0.27599922 0.054102574 1.0433537 0.5253155 2.0024445e-06 5.4837627 3405.825 21717.395 6.8312808e-12 283.74374 2654.7485 1438.983 834.8835 2068.813 0.0 1.8423581 0.9428299 0.20488422 0.29703346 17.278513 0.043466065 -0.11614417 46.395584 2.0 0.0 0.0 0.86012125 0.8666079 22.54338 17 6.0 72 80 0.9830996 16.952179 17.36296403741798 17.064602
0.9894838 28 51.500004 11.146451 10.800861 1.8030262 0.55777144 16.844572 -3.1365347 4.291715e-05 0.16118841 0.35112184 0.25213346 1.8070118 1.6888588e-06 20.80793 6438.0737 15724.117 6.7784797e-12 152.57784 1698.9368 -384.66663 1600.8883 419.016 0.111853845 1.4262159 0.95107716 0.05885545 0.14954725 11.68892 -0.08793433 0.084986866 27.491241 1.0 1.0 111.85384 0.91330093 0.9714465 21.141216 10 7.0 110 139 1.0286819 11.264915 10.835663580743477 11.149931
1.0027784 17 38.5 32.197643 30.181242 -1.8874031 1.8109685 41.43837 0.08395192 0.0001415646 0.23324873 0.3950232 -0.36425757 -1.885676 3.3378938e-06 2.8531153 10365.706 81848.15 1.8411994e-11 254.35315 1867.6486 -544.1747 -1665.5486 -646.47754 0.0 28.750048 0.89212936 0.1518635 0.24593778 32.88822 0.1874927 0.08458569 62.54479 2.0 0.0 0.0 0.9672928 0.9262335 42.01951 17 91.0 123 151 0.99662834 32.108433 32.30656976902744 32.192966
1.0202011 22 43.499996 9.677613 7.631492 0.32090932 0.5718766 14.697276 2.107611 5.8655085e-05 0.21147159 0.29243872 -0.7155461 0.32122847 3.713624e-07 4.0539136 16609.584 163982.11 2.410643e-13 468.28918 2361.031 1768.6774 584.557 -1450.7035 0.0 0.32183462 0.7609964 0.12470108 0.26847583 10.53754 -0.019867484 0.018551892 14.518656 3.0 0.0 0.0 0.2932925 0.61483103 13.65047 12 4.0 124 171 0.83497924 9.485986 11.590243848457837 9.676621
