r_e_calculated nPrimVtx avgMu clusterE clusterPt clusterPhi cluster_MASS cluster_sumCellE cluster_time cluster_fracE cluster_PTD cluster_ISOLATION cluster_FIRST_ETA cluster_FIRST_PHI cluster_FIRST_ENG_DENS cluster_SECOND_TIME cluster_SECOND_R cluster_SECOND_LAMBDA cluster_SECOND_ENG_DENS cluster_CENTER_LAMBDA cluster_CENTER_MAG cluster_CENTER_X cluster_CENTER_Y cluster_CENTER_Z cluster_ENG_BAD_CELLS cluster_ENG_BAD_HV_CELLS cluster_ENG_FRAC_EM cluster_ENG_FRAC_MAX cluster_ENG_FRAC_CORE cluster_ENG_POS cluster_DELTA_THETA cluster_DELTA_PHI cluster_CELL_SIGNIFICANCE cluster_CELL_SIG_SAMPLING cluster_N_BAD_CELLS cluster_BAD_CELLS_CORR_E cluster_LONGITUDINAL cluster_LATERAL cluster_SIGNIFICANCE nCluster cluster_N_BAD_HV_CELLS cluster_nCells cluster_nCells_tot r_e_predec cluster_ENG_CALIB_TOT cluster_ENG_TOT_frompred clusterECalib
1.1815553 21 34.5 0.72903454 0.4698709 0.7007873 0.02940832 1.9342508 10.327342 1.9472636e-06 0.2976856 0.72727275 1.0114843 0.6980605 9.008437e-08 63.140068 8750.138 17662.773 1.082004e-14 615.1736 2946.1738 1448.8745 1215.6271 2258.972 0.0 0.0 1.0 0.15733859 0.22365934 0.93773144 0.50402397 0.33860204 4.3680573 3.0 0.0 0.0 0.85676974 0.83832234 2.3251386 10 0.0 21 28 0.8468527 0.6170126 0.8608752620142794 0.72894156
1.0367569 13 27.5 0.9993906 0.9901802 0.5170145 0.036179084 1.5223981 1.2058219 2.1137816e-05 0.33903208 0.39938033 -0.13596027 0.5273744 5.517374e-07 6.2429595 2080.3003 15935.597 5.8628227e-13 143.86385 1653.166 1416.2885 822.90015 -223.4284 0.0 0.18236665 0.8516652 0.21226585 0.49133113 1.2294258 0.006715362 0.20930165 6.6056986 1.0 0.0 0.0 0.61292785 0.77687854 3.940679 11 1.0 17 31 0.9231929 0.9639585 1.0825371382297242 0.9989952
0.7153354 9 21.499998 0.36728415 0.12376351 0.0893122 0.015989136 2.5787177 0.39096302 1.15703615e-05 0.34735447 1.0 1.7521555 0.07922251 1.6435318e-06 0.0 4457.63 7507.0234 3.7313408e-12 82.859474 4058.4756 1360.593 107.69294 3822.0955 0.0 0.0 0.9912903 0.18981877 0.35480857 0.9201834 -0.14738275 0.71563464 4.3284826 5.0 0.0 0.0 0.11530577 0.73283046 0.73954123 7 0.0 15 28 0.44860116 0.51344323 0.8187320558867925 0.36800948
0.90024763 27 50.5 0.78505784 0.7850101 -2.6376166 0.057492197 1.6613569 -1.4717275 5.8627338e-05 0.28342178 1.0 -0.010758279 -2.6331959 3.9759155e-07 5.5390887 6604.3257 15373.322 2.6657485e-13 154.62651 1653.1923 -1444.8854 -803.1315 -18.182436 0.0 0.027854944 0.9734363 0.18061742 0.32357273 1.0486082 -0.02840341 0.1793544 4.243002 1.0 0.0 0.0 0.7925738 0.9351789 2.915163 6 2.0 24 35 1.1067228 0.87204653 0.7093536339903723 0.7848119
1.3252157 14 23.5 0.70922506 0.39580026 -2.8038325 0.012681262 1.4556658 0.09598899 2.7493907e-06 0.54535365 0.8953246 1.1875039 -2.801069 4.1412318e-07 0.0 1235.066 22618.86 2.6156516e-13 35.327763 2728.0066 -1434.9772 -507.26993 2263.965 0.0 0.42131507 0.51149166 0.48850834 0.7973468 0.86245215 -0.0041583716 0.20513195 4.926565 1.0 0.0 0.0 0.002282646 0.5044459 2.97126 14 1.0 9 21 1.2969378 0.53517705 0.5468458549053007 0.7089959
1.171886 15 23.5 0.7441031 0.20082355 -1.8105932 0.0070324694 2.590215 0.99313575 2.0885802e-06 0.46092138 0.7389934 -1.9840567 -1.8013089 3.7738992e-06 0.0 1059.4725 6701.5947 2.2435019e-11 82.94874 3976.969 -245.3502 -1044.6793 -3829.4556 0.0 0.0 1.0 0.38095587 0.48073536 0.85004634 0.057430997 -0.043845214 5.288297 5.0 0.0 0.0 0.5149128 0.53154093 2.4065971 11 0.0 10 16 0.87764007 0.634962 0.8478454043238933 0.7439926
1.1784785 23 51.500004 0.6611908 0.65973485 1.7221888 0.030494006 1.2349077 -1.6408707 7.982596e-06 0.37830067 1.0 -0.06622454 1.7179067 8.8713523e-07 0.0 4152.1675 9749.302 1.5253793e-12 91.73977 1589.548 -231.54161 1569.0867 -104.968956 0.0 0.03581889 0.9485512 0.29977682 0.47156346 0.69620407 0.054557428 0.25753736 8.848384 1.0 0.0 0.0 0.44117314 0.85981923 3.826435 10 1.0 16 20 1.0141095 0.56105465 0.6519915255699704 0.724996
1.5753002 10 28.5 0.54167867 0.47427097 0.23329233 0.02945195 1.1128616 -3.762515 2.407791e-06 0.30690125 0.62738264 0.52485424 0.22313215 5.0935995e-07 0.0 5132.051 7507.2505 3.6325058e-13 54.02349 1761.8368 1505.4984 341.98532 848.87524 0.0 0.15093213 0.82653403 0.17346598 0.38982978 0.73071057 0.0463666 0.03894935 4.199989 1.0 0.0 0.0 0.62647563 0.9072308 2.0724661 5 2.0 19 28 1.0497272 0.3438574 0.5160185141434842 0.54190254
0.8930413 26 49.500004 0.8586222 0.8565683 1.4739513 0.03493844 2.6736112 2.9158878 8.056229e-06 0.44776228 0.9509646 -0.06754036 1.4741782 4.057309e-07 0.0 2164.8235 2746.5042 2.6233196e-13 254.06116 1755.0275 169.20694 1742.8381 -118.34521 0.0 0.0 1.0 0.39529726 0.43807366 1.2997749 -0.5040177 0.42041403 8.716825 2.0 0.0 0.0 0.34747034 0.6822588 3.5057695 7 0.0 16 32 0.5671455 0.96145856 1.513936370825476 0.85708517
1.352891 14 18.5 0.51682377 0.39710703 2.4719458 0.010173269 1.1184356 -1.2711034 1.4654918e-05 0.52475154 0.68656677 -0.75688237 2.4745183 2.464748e-07 0.0 1410.7576 6208.829 8.7694886e-14 275.564 2224.4207 -1343.5386 1058.5293 -1422.1345 0.0 0.0 1.0 0.4761843 0.54469895 0.59562886 -0.39238483 -0.02837887 4.267643 2.0 0.0 0.0 0.50132567 0.554933 2.509051 13 0.0 13 15 0.91751045 0.38201436 0.5632892464603537 0.5161325
